pc	variance_explained
1	0.0257287019397828
2	0.0107747197113824
3	0.00620341174111327
4	0.004344817576249
5	0.00425745697357147
6	0.00389828916462281
7	0.00332609378134222
8	0.00316318702860363
9	0.00298512804472199
10	0.00297958499781645
11	0.00296231665338395
12	0.00295752193286069
13	0.0029239571832421
14	0.00290722906559384
15	0.00289562140388885
16	0.00287947820521245
17	0.00286345426188349
18	0.00285545526402068
19	0.00284948087623968
20	0.00284417194028086
21	0.00283001780059192
22	0.00282176859290304
23	0.00281923144492083
24	0.00281165732008146
25	0.00280762300240145
26	0.00280345201834577
27	0.00280084369316964
28	0.00279822427830691
29	0.00279390750284744
30	0.00279109943082416
31	0.00278482427121201
32	0.00278379878450549
