hipid	total_tcrs	TCRBV01	TCRBV02	TCRBV03	TCRBV04	TCRBV05	TCRBV06	TCRBV07	TCRBV08	TCRBV09	TCRBV10	TCRBV11	TCRBV12	TCRBV13	TCRBV14	TCRBV15	TCRBV16	TCRBV17	TCRBV18	TCRBV19	TCRBV20	TCRBV21	TCRBV22	TCRBV23	TCRBV24	TCRBV25	TCRBV26	TCRBV27	TCRBV28	TCRBV29	TCRBV30	TCRBVA
HIP00110	104724	0.000859	0.042321	0.037842	0.026680	0.138946	0.141591	0.116783	0.000010	0.053598	0.033555	0.034338	0.058353	0.007849	0.009367	0.012710	0.000859	0.000000	0.016080	0.051316	0.076172	0.006235	0.000010	0.002129	0.009138	0.010007	0.000000	0.036954	0.010637	0.025897	0.039733	0.000029
HIP00169	96761	0.000506	0.037329	0.029113	0.049018	0.122777	0.157408	0.113424	0.000000	0.032813	0.023305	0.038631	0.062122	0.007141	0.009301	0.013797	0.000796	0.000031	0.021197	0.048449	0.067300	0.004237	0.000000	0.001612	0.017021	0.009456	0.000000	0.027800	0.035117	0.024421	0.045866	0.000010
HIP00594	160882	0.000858	0.043063	0.035734	0.042715	0.134129	0.131500	0.105624	0.000000	0.031899	0.033285	0.023676	0.049850	0.008938	0.010355	0.014706	0.000957	0.000000	0.020139	0.042186	0.069492	0.004830	0.000000	0.002070	0.017678	0.009063	0.000000	0.048178	0.057334	0.022302	0.039420	0.000019
HIP00602	197606	0.000450	0.034655	0.034351	0.067675	0.106065	0.146696	0.146625	0.000000	0.039852	0.025146	0.033283	0.050014	0.006275	0.008142	0.003846	0.000815	0.000000	0.029756	0.050297	0.076536	0.006427	0.000010	0.002348	0.011280	0.009848	0.000000	0.031416	0.040373	0.021158	0.016644	0.000015
HIP00614	105478	0.000408	0.024176	0.022991	0.048693	0.082690	0.150240	0.115711	0.000000	0.051414	0.018923	0.025323	0.043260	0.009955	0.011149	0.017511	0.000739	0.000000	0.024394	0.049138	0.110336	0.002844	0.000000	0.001962	0.015302	0.011737	0.000009	0.045659	0.041032	0.033884	0.040511	0.000009
HIP00640	205260	0.000589	0.037099	0.036159	0.050955	0.113968	0.137085	0.126922	0.000000	0.035185	0.023161	0.043145	0.063325	0.008399	0.008565	0.014021	0.000658	0.000024	0.032944	0.050521	0.080785	0.005968	0.000000	0.002139	0.015556	0.008414	0.000000	0.029519	0.014148	0.023648	0.037085	0.000015
HIP00707	173105	0.000479	0.039283	0.035187	0.066584	0.119078	0.149042	0.125733	0.000000	0.033263	0.026920	0.036787	0.046948	0.006204	0.007562	0.014355	0.000624	0.000006	0.019630	0.044135	0.076000	0.004078	0.000000	0.001716	0.012888	0.012963	0.000000	0.025528	0.029728	0.024973	0.040293	0.000012
HIP00710	76402	0.000628	0.028638	0.029751	0.064409	0.123897	0.152103	0.104683	0.000000	0.041190	0.024122	0.026099	0.058807	0.007474	0.010851	0.014659	0.000798	0.000000	0.031936	0.048441	0.103112	0.001662	0.000000	0.001099	0.012487	0.013573	0.000000	0.029253	0.010078	0.036648	0.023586	0.000013
HIP00715	290337	0.000627	0.032703	0.030788	0.053155	0.108405	0.137943	0.133486	0.000000	0.038342	0.016739	0.037959	0.043456	0.004736	0.008738	0.013006	0.000606	0.000000	0.026672	0.041145	0.077717	0.005838	0.000000	0.002180	0.019371	0.007767	0.000000	0.032507	0.069795	0.022980	0.033313	0.000024
HIP00728	93035	0.000709	0.041769	0.036062	0.041296	0.105691	0.122588	0.121105	0.000011	0.040307	0.024120	0.027441	0.053141	0.006116	0.007857	0.014747	0.000989	0.000000	0.027355	0.052056	0.093459	0.005965	0.000000	0.002203	0.015682	0.009642	0.000000	0.033418	0.064331	0.024464	0.027441	0.000032
HIP00734	102010	0.000480	0.031899	0.031222	0.038143	0.108401	0.135153	0.120057	0.000000	0.031399	0.025801	0.032497	0.051083	0.006597	0.010048	0.011901	0.000961	0.000000	0.025488	0.058906	0.084923	0.006411	0.000010	0.002225	0.014489	0.013077	0.000000	0.048485	0.052681	0.026488	0.031164	0.000010
HIP00761	151780	0.000665	0.041909	0.037996	0.048182	0.114995	0.143965	0.128278	0.000000	0.031236	0.024351	0.027935	0.062782	0.007807	0.009870	0.013632	0.000988	0.000000	0.030228	0.054691	0.078232	0.004507	0.000020	0.002036	0.008328	0.008881	0.000000	0.030129	0.041270	0.020984	0.026084	0.000020
HIP00769	202832	0.000419	0.041759	0.030602	0.052995	0.125394	0.145534	0.124093	0.000000	0.032179	0.026406	0.033890	0.056963	0.007356	0.009313	0.013297	0.000952	0.000000	0.033934	0.057289	0.086569	0.004625	0.000000	0.001790	0.008179	0.010413	0.000000	0.039284	0.009826	0.025272	0.021658	0.000010
HIP00771	325248	0.000581	0.039702	0.034005	0.052043	0.108253	0.138279	0.121344	0.000003	0.023450	0.022487	0.032717	0.039382	0.006915	0.010106	0.014736	0.000861	0.000000	0.029162	0.051063	0.083050	0.005670	0.000006	0.001931	0.026017	0.009491	0.000003	0.041092	0.065907	0.023084	0.018638	0.000022
HIP00773	294959	0.000763	0.037676	0.036825	0.067199	0.119837	0.132045	0.121197	0.000000	0.041769	0.027512	0.028553	0.058690	0.010500	0.008232	0.014209	0.000631	0.000000	0.020867	0.041358	0.094298	0.006316	0.000003	0.002580	0.007625	0.011351	0.000000	0.038907	0.005191	0.025858	0.039958	0.000051
HIP00775	247776	0.000492	0.038398	0.030959	0.047095	0.113925	0.118042	0.115479	0.000000	0.037829	0.028017	0.031472	0.045735	0.007216	0.008031	0.015962	0.000706	0.000000	0.021063	0.046526	0.091280	0.004456	0.000008	0.001752	0.021762	0.010505	0.000000	0.042325	0.074006	0.027634	0.019304	0.000020
HIP00777	265812	0.000515	0.036684	0.033934	0.065964	0.109254	0.165060	0.134031	0.000000	0.045434	0.025789	0.035992	0.063041	0.009796	0.009608	0.013961	0.000775	0.000000	0.025274	0.043497	0.076106	0.004842	0.000004	0.002302	0.007814	0.009778	0.000000	0.029619	0.005726	0.020736	0.024442	0.000023
HIP00779	136369	0.000843	0.033930	0.023568	0.066049	0.137766	0.139885	0.104137	0.000000	0.045942	0.023744	0.036504	0.028526	0.010178	0.006079	0.011865	0.000565	0.000015	0.037355	0.044277	0.116500	0.002398	0.000000	0.001591	0.022439	0.010589	0.000000	0.024580	0.018963	0.031833	0.019873	0.000007
HIP00805	324059	0.000488	0.038894	0.035108	0.039391	0.124521	0.110480	0.103660	0.000000	0.042039	0.022539	0.029945	0.047726	0.004376	0.009196	0.012883	0.000663	0.000003	0.028436	0.046174	0.079146	0.004786	0.000006	0.001611	0.015081	0.009717	0.000000	0.059069	0.073977	0.027291	0.032775	0.000019
HIP00813	97927	0.000572	0.030104	0.034209	0.069072	0.112676	0.149509	0.131281	0.000000	0.042256	0.023456	0.026367	0.051916	0.006362	0.008843	0.015042	0.000735	0.000000	0.019852	0.041163	0.056675	0.004156	0.000000	0.001685	0.015072	0.009415	0.000000	0.035006	0.059626	0.023773	0.031176	0.000000
HIP00819	155043	0.000477	0.040731	0.042595	0.043743	0.129319	0.142283	0.115671	0.000000	0.043427	0.032759	0.031185	0.063382	0.010565	0.010771	0.012222	0.000845	0.000000	0.034313	0.054127	0.080797	0.004773	0.000006	0.001832	0.011003	0.008985	0.000000	0.030508	0.012635	0.019769	0.021272	0.000006
HIP00822	136731	0.000468	0.032385	0.028004	0.039523	0.120419	0.118364	0.116053	0.000022	0.041505	0.026834	0.030790	0.035588	0.005610	0.011336	0.016061	0.000958	0.000000	0.028567	0.049455	0.099158	0.006297	0.000000	0.002179	0.014298	0.008967	0.000000	0.037131	0.075850	0.025247	0.028911	0.000022
HIP00825	323779	0.000683	0.035379	0.032337	0.037041	0.106529	0.118918	0.103719	0.000003	0.039135	0.032791	0.033124	0.042134	0.007653	0.008546	0.015081	0.000513	0.000000	0.022037	0.044987	0.094651	0.005362	0.000003	0.001927	0.017351	0.009445	0.000000	0.057332	0.070239	0.025798	0.037269	0.000012
