hipid	total_tcrs	TCRBV01	TCRBV02	TCRBV03	TCRBV04	TCRBV05	TCRBV06	TCRBV07	TCRBV08	TCRBV09	TCRBV10	TCRBV11	TCRBV12	TCRBV13	TCRBV14	TCRBV15	TCRBV16	TCRBV17	TCRBV18	TCRBV19	TCRBV20	TCRBV21	TCRBV22	TCRBV23	TCRBV24	TCRBV25	TCRBV26	TCRBV27	TCRBV28	TCRBV29	TCRBV30	TCRBVA
HIP00110	25982	0.008621	0.019783	0.026210	0.027173	0.111654	0.133362	0.117120	0.000000	0.036256	0.046147	0.037218	0.063005	0.004542	0.014626	0.009045	0.000385	0.000000	0.014318	0.034216	0.061658	0.064468	0.000077	0.022939	0.046609	0.012470	0.000000	0.036756	0.005311	0.018628	0.027057	0.000346
HIP00169	18971	0.006378	0.014707	0.043435	0.044015	0.103632	0.148595	0.111486	0.000000	0.028043	0.044753	0.032998	0.060513	0.004428	0.017606	0.010279	0.000896	0.000105	0.013020	0.029519	0.051500	0.056244	0.000053	0.021507	0.036319	0.013494	0.000000	0.039218	0.022719	0.018660	0.025723	0.000158
HIP00594	37695	0.009020	0.019631	0.023611	0.030031	0.120626	0.136968	0.107680	0.000000	0.026396	0.049370	0.028067	0.059186	0.004006	0.019499	0.012840	0.000531	0.000027	0.012575	0.033585	0.048786	0.053588	0.000106	0.023770	0.035363	0.013370	0.000000	0.047831	0.037485	0.019446	0.026396	0.000212
HIP00602	50899	0.006071	0.014087	0.051101	0.049294	0.086289	0.142144	0.125287	0.000000	0.034264	0.042123	0.032869	0.053105	0.003674	0.016562	0.010511	0.000472	0.000000	0.013733	0.032339	0.059431	0.059805	0.000059	0.022554	0.033714	0.012240	0.000000	0.041907	0.023262	0.016523	0.016385	0.000196
HIP00614	22568	0.007666	0.013160	0.028758	0.046925	0.087868	0.133419	0.101826	0.000044	0.032524	0.038240	0.032878	0.053704	0.004431	0.021446	0.010546	0.000266	0.000000	0.020427	0.039215	0.084899	0.036468	0.000133	0.025080	0.043912	0.015907	0.000000	0.041342	0.024061	0.024947	0.029511	0.000399
HIP00640	47726	0.006894	0.016259	0.038637	0.037862	0.097201	0.130474	0.116792	0.000021	0.028789	0.041298	0.036814	0.059695	0.004924	0.019151	0.011419	0.000608	0.000272	0.015484	0.032121	0.067385	0.068034	0.000063	0.024599	0.043477	0.012781	0.000000	0.037233	0.007354	0.018627	0.025542	0.000189
HIP00707	37489	0.006295	0.015765	0.047134	0.056843	0.096908	0.156606	0.107151	0.000000	0.030756	0.043960	0.031049	0.053349	0.004988	0.016725	0.011043	0.000400	0.000267	0.010750	0.025341	0.051668	0.046680	0.000027	0.020593	0.048734	0.014511	0.000027	0.037051	0.020033	0.018432	0.026835	0.000080
HIP00710	14728	0.009166	0.011882	0.021795	0.054047	0.109791	0.154468	0.096551	0.000000	0.026276	0.039788	0.029264	0.053096	0.004006	0.017721	0.009845	0.000407	0.000068	0.022882	0.034153	0.087249	0.022542	0.000136	0.021116	0.070003	0.018740	0.000000	0.030961	0.005839	0.026276	0.021727	0.000204
HIP00715	78235	0.006634	0.014124	0.039420	0.045402	0.090982	0.142916	0.110846	0.000000	0.033093	0.042960	0.035649	0.051869	0.004014	0.015926	0.011926	0.000371	0.000038	0.012705	0.029360	0.058145	0.057468	0.000013	0.021653	0.031814	0.012923	0.000013	0.046578	0.041708	0.017090	0.024107	0.000256
HIP00728	23641	0.007402	0.015439	0.034347	0.040015	0.097669	0.137008	0.113235	0.000000	0.032697	0.047037	0.029144	0.052451	0.004230	0.019627	0.012817	0.000804	0.000000	0.014170	0.033966	0.054312	0.059092	0.000000	0.023180	0.032486	0.012605	0.000000	0.043399	0.044541	0.017300	0.020811	0.000211
