#bin    name    chrom   strand  txStart txEnd   cdsStart    cdsEnd  exonCount   exonStarts  exonEnds    score   name2   cdsStartStat    cdsEndStat  exonFrames
1668    ENST00000455382.2   chr7    +   142000746   142001255   142000820   142001255   2   142000746,142000957,    142000869,142001255,    0   TRBV2   cmpl    incmpl  0,1,
1668    ENST00000390387.3   chr7    +   142008364   142008871   142008411   142008871   2   142008364,142008576,    142008460,142008871,    0   TRBV3-1 cmpl    incmpl  0,1,
1668    ENST00000390357.3   chr7    +   142013006   142013489   142013035   142013489   2   142013006,142013194,    142013084,142013489,    0   TRBV4-1 cmpl    incmpl  0,1,
1668    ENST00000390381.3   chr7    +   142020495   142021363   142020893   142021363   3   142020495,142020708,142021069,  142020619,142020942,142021363,  0   TRBV5-1 cmpl    incmpl  -1,0,1,
1668    ENST00000390353.2   chr7    +   142028120   142028610   142028177   142028610   2   142028120,142028315,    142028226,142028610,    0   TRBV6-1 cmpl    incmpl  0,1,
1668    ENST00000547918.2   chr7    +   142032005   142032527   142032038   142032527   2   142032005,142032229,    142032087,142032527,    0   TRBV7-1 cmpl    incmpl  0,1,
1668    ENST00000390392.3   chr7    +   142045251   142045816   142045362   142045816   2   142045251,142045521,    142045411,142045816,    0   TRBV4-2 cmpl    incmpl  0,1,
1669    ENST00000390359.3   chr7    -   142099454   142099977   142099454   142099938   2   142099454,142099889,    142099752,142099977,    0   TRBV7-8 incmpl  cmpl    1,0,
1669    ENST00000390379.1   chr7    -   142104120   142104553   142104120   142104553   2   142104120,142104504,    142104415,142104553,    0   TRBV6-9 incmpl  cmpl    1,0,
1669    ENST00000390378.1   chr7    -   142111392   142111859   142111392   142111859   2   142111392,142111810,    142111686,142111859,    0   TRBV5-7 incmpl  cmpl    1,0,
1669    ENST00000390377.1   chr7    -   142119819   142120321   142119819   142120321   2   142119819,142120272,    142120117,142120321,    0   TRBV7-7 incmpl  cmpl    1,0,
1669    ENST00000390376.2   chr7    -   142124136   142124565   142124136   142124565   2   142124136,142124516,    142124428,142124565,    0   TRBV6-8 incmpl  cmpl    1,0,
1669    ENST00000390375.2   chr7    -   142131411   142131918   142131411   142131877   2   142131411,142131828,    142131705,142131918,    0   TRBV5-6 incmpl  cmpl    1,0,
1669    ENST00000390374.3   chr7    -   142139277   142139815   142139277   142139770   3   142139277,142139721,142139783,  142139575,142139782,142139815,  0   TRBV7-6 incmpl  cmpl    1,0,-1,
1669    ENST00000390373.2   chr7    -   142143651   142144084   142143651   142144084   2   142143651,142144035,    142143946,142144084,    0   TRBV6-7 incmpl  cmpl    1,0,
1669    ENST00000390372.3   chr7    -   142148927   142149399   142148927   142149392   2   142148927,142149343,    142149221,142149399,    0   TRBV5-5 incmpl  cmpl    1,0,
1669    ENST00000390371.3   chr7    -   142161930   142162407   142161930   142162363   4   142161930,142162001,142162050,142162314,    142162000,142162049,142162225,142162407,    0   TRBV6-6 incmpl  cmpl    1,0,1,0,
1669    ENST00000454561.2   chr7    -   142168379   142169045   142168379   142168844   4   142168379,142168429,142168452,142168795,    142168428,142168451,142168673,142169045,    0   TRBV5-4 incmpl  cmpl    0,1,1,0,
1669    ENST00000390369.2   chr7    -   142176328   142176790   142176328   142176790   2   142176328,142176741,    142176626,142176790,    0   TRBV7-4 incmpl  cmpl    1,0,
1669    ENST00000390368.2   chr7    -   142180514   142181016   142180514   142180950   2   142180514,142180901,    142180809,142181016,    0   TRBV6-5 incmpl  cmpl    1,0,
1669    ENST00000471935.1   chr7    -   142197569   142198069   142197569   142197569   2   142197569,142197959,    142197867,142198069,    0   TRBV11-2    none    none    -1,-1,
1669    ENST00000426318.2   chr7    -   142206510   142207011   142206510   142206960   2   142206510,142206911,    142206805,142207011,    0   TRBV10-2    incmpl  cmpl    1,0,
1670    ENST00000390367.3   chr7    -   142223819   142224284   142223819   142224267   2   142223819,142224218,    142224117,142224284,    0   TRBV11-1    incmpl  cmpl    1,0,
1670    ENST00000390364.3   chr7    -   142231572   142232090   142231572   142232022   2   142231572,142231973,    142231867,142232090,    0   TRBV10-1    incmpl  cmpl    1,0,
1670    ENST00000390363.2   chr7    -   142239536   142240058   142239536   142240011   2   142239536,142239962,    142239830,142240058,    0   TRBV9   incmpl  cmpl    1,0,
1670    ENST00000390362.1   chr7    -   142242280   142242747   142242280   142242747   2   142242280,142242698,    142242574,142242747,    0   TRBV5-3 incmpl  cmpl    1,0,
1670    ENST00000390361.3   chr7    -   142247108   142247615   142247108   142247565   3   142247108,142247148,142247516,  142247124,142247406,142247615,  0   TRBV7-3 incmpl  cmpl    1,1,0,
1670    ENST00000390360.3   chr7    -   142250702   142251158   142250702   142251137   2   142250702,142251088,    142250997,142251158,    0   TRBV6-4 incmpl  cmpl    1,0,
1670    ENST00000390393.3   chr7    +   142326362   142327046   142326570   142327046   2   142326362,142326751,    142326619,142327046,    0   TRBV19  cmpl    incmpl  0,1,
1670    ENST00000390394.3   chr7    +   142334162   142334913   142334240   142334913   2   142334162,142334609,    142334271,142334913,    0   TRBV20-1    cmpl    incmpl  0,1,
1671    ENST00000390396.1   chr7    +   142353467   142353964   142353467   142353964   2   142353467,142353666,    142353516,142353964,    0   TRBV23-1    cmpl    incmpl  0,1,
1671    ENST00000390397.2   chr7    +   142364197   142364710   142364233   142364710   2   142364197,142364414,    142364282,142364710,    0   TRBV24-1    cmpl    incmpl  0,1,
1671    ENST00000604952.1   chr7    +   142374103   142375550   142375062   142375137   1   142374103,  142375550,  0   MTRNR2L6    cmpl    cmpl    0,
1671    ENST00000390398.3   chr7    +   142378571   142379076   142378608   142379076   2   142378571,142378781,    142378657,142379076,    0   TRBV25-1    cmpl    incmpl  0,1,
1671    ENST00000390399.3   chr7    +   142423172   142423688   142423215   142423688   2   142423172,142423393,    142423264,142423688,    0   TRBV27  cmpl    incmpl  0,1,
1671    ENST00000390400.2   chr7    +   142428483   142428984   142428503   142428984   2   142428483,142428689,    142428552,142428984,    0   TRBV28  cmpl    incmpl  0,1,
1671    ENST00000422143.2   chr7    +   142448052   142448741   142448119   142448741   2   142448052,142448440,    142448153,142448741,    0   TRBV29-1    cmpl    incmpl  0,1,
1671    ENST00000486171.5   chr7    +   142457318   142460871   142457335   142460871   6   142457318,142458405,142458919,142459624,142460281,142460718,    142457375,142458565,142458961,142459878,142460418,142460871,    0   PRSS1   cmpl    cmpl    0,1,2,2,1,0,
1671    ENST00000619214.4   chr7    +   142457318   142460927   142457335   142460871   6   142457318,142458405,142459624,142459687,142460281,142460718,    142457375,142458565,142459657,142459878,142460418,142460927,    0   PRSS1   cmpl    cmpl    0,1,2,2,1,0,
1671    ENST00000311737.11  chr7    +   142457329   142460921   142457335   142460871   5   142457329,142458405,142459624,142460281,142460718,  142457375,142458565,142459878,142460418,142460921,  0   PRSS1   cmpl    cmpl    0,1,2,1,0,
1671    ENST00000612126.4   chr7    +   142457329   142471846   142457335   142471794   5   142457329,142458405,142459624,142460281,142471641,  142457375,142458565,142459878,142460418,142471846,  0   PRSS1   cmpl    cmpl    0,1,2,1,0,
1672    ENST00000632684.1   chr7    +   142494021   142494030   142494021   142494030   1   142494021,  142494030,  0   TRBD1   incmpl  incmpl  0,
1672    ENST00000390412.1   chr7    +   142494048   142494098   142494048   142494098   1   142494048,  142494098,  0   TRBJ2-1 incmpl  incmpl  2,
1672    ENST00000390413.1   chr7    +   142494243   142494294   142494243   142494294   1   142494243,  142494294,  0   TRBJ2-2 incmpl  incmpl  1,
1672    ENST00000390414.1   chr7    +   142494380   142494426   142494380   142494426   1   142494380,  142494426,  0   TRBJ2-2P    incmpl  incmpl  0,
1672    ENST00000390415.1   chr7    +   142494530   142494579   142494530   142494579   1   142494530,  142494579,  0   TRBJ2-3 incmpl  incmpl  0,
1672    ENST00000390416.1   chr7    +   142494681   142494731   142494681   142494731   1   142494681,  142494731,  0   TRBJ2-4 incmpl  incmpl  2,
1672    ENST00000390417.1   chr7    +   142494802   142494850   142494802   142494850   1   142494802,  142494850,  0   TRBJ2-5 incmpl  incmpl  1,
1672    ENST00000390418.1   chr7    +   142494922   142494975   142494922   142494975   1   142494922,  142494975,  0   TRBJ2-6 incmpl  incmpl  2,
1672    ENST00000390419.1   chr7    +   142495139   142495186   142495139   142495186   1   142495139,  142495186,  0   TRBJ2-7 incmpl  incmpl  2,
1672    ENST00000466254.1   chr7    +   142498724   142500432   142498724   142500213   4   142498724,142499627,142499788,142500186,    142499111,142499645,142499895,142500432,    0   TRBC2   incmpl  cmpl    1,1,1,0,
1672    ENST00000417977.2   chr7    -   142510270   142511084   142510270   142510972   2   142510270,142510929,    142510562,142511084,    0   TRBV30  incmpl  cmpl    1,0,
